iteration,seed,dropout,rnn_dropout,last_perf,min_perf,time
in,in,in,in,out,out,out
int,float,float,float,float,float,float
92,153318375,0.025,0.175,1.243287432,1.135923851,44.825463
93,153318375,0.05,0.175,1.262594044,1.141885269,43.891765
94,153318375,0.075,0.175,1.246658969,1.115104342,43.710824
95,153318375,0.1,0.175,1.261896396,1.167756319,46.234012
96,153318375,0.125,0.175,1.252350521,1.124670327,40.437883
97,153318375,0.15,0.175,1.235276663,1.113191366,44.307628
98,153318375,0.175,0.175,1.239486885,1.093426108,44.000757
99,153318375,0.2,0.175,1.304959452,1.152203727,40.97271
100,153318375,0.225,0.175,1.258044267,1.128768229,42.543201
101,153318375,0.25,0.175,1.277571261,1.141467607,42.728147
102,153318375,0.275,0.175,1.269961965,1.118803871,43.771803
103,153318375,0.3,0.175,1.349300611,1.136739838,40.235951
104,153318375,0,0.2,1.233733726,1.140172541,43.623854
105,153318375,0.025,0.2,1.219991326,1.114610469,45.04639
106,153318375,0.05,0.2,1.282815349,1.161885011,40.974714
107,153318375,0.075,0.2,1.233195567,1.115875626,42.792121
108,153318375,0.1,0.2,1.231780136,1.134743476,46.075055
109,153318375,0.125,0.2,1.262459421,1.178397584,42.299294
110,153318375,0.15,0.2,1.267877352,1.140737164,42.356261
111,153318375,0.175,0.2,1.271153545,1.098545742,44.83246
112,153318375,0.2,0.2,1.272038901,1.146674776,42.039366
113,153318375,0.225,0.2,1.27253989,1.123522878,41.13166
114,153318375,0.25,0.2,1.272780573,1.107985783,43.944747
115,153318375,0.275,0.2,1.293871891,1.14947648,43.879769
116,153318375,0.3,0.2,1.318555558,1.128049743,43.779807
117,153318375,0,0.225,1.226521504,1.102852166,42.220306
118,153318375,0.025,0.225,1.195316637,1.07660718,47.796495
119,153318375,0.05,0.225,1.211111152,1.099112403,50.799549
120,153318375,0.075,0.225,1.227600002,1.138760698,44.686505
121,153318375,0.1,0.225,1.215455723,1.128003991,49.196067
122,153318375,0.125,0.225,1.218264341,1.11318388,47.755501
123,153318375,0.15,0.225,1.235446978,1.132178497,44.572543
124,153318375,0.175,0.225,1.243667316,1.133785176,45.425288
125,153318375,0.2,0.225,1.231663847,1.139611197,42.771125
126,153318375,0.225,0.225,1.263146544,1.136225224,43.174997
127,153318375,0.25,0.225,1.361542153,1.15968796,41.846433
128,153318375,0.275,0.225,1.287598896,1.157592702,43.481903
129,153318375,0.3,0.225,1.351567364,1.172893846,44.529557
130,153318375,0,0.25,1.243548751,1.138960707,43.267967
131,153318375,0.025,0.25,1.228400743,1.132614851,49.744866
132,153318375,0.05,0.25,1.210186958,1.116891205,48.87415
133,153318375,0.075,0.25,1.197372687,1.122988164,45.145357
134,153318375,0.1,0.25,1.238185048,1.155518508,44.285638
135,153318375,0.125,0.25,1.237064767,1.129916584,42.735139
136,153318375,0.15,0.25,1.244537032,1.121623707,41.90341
137,153318375,0.175,0.25,1.242935288,1.129810834,43.652842
138,153318375,0.2,0.25,1.259509134,1.118033934,41.364583
139,153318375,0.225,0.25,1.262179804,1.099945784,42.250296
140,153318375,0.25,0.25,1.293278551,1.135341799,46.067074
141,153318375,0.275,0.25,1.35241853,1.213587797,40.32192
142,153318375,0.3,0.25,1.348962796,1.165581489,41.109665
143,153318375,0,0.275,1.286916387,1.181885087,40.41789
144,153318375,0.025,0.275,1.218686283,1.013874567,55.096128
145,153318375,0.05,0.275,1.252179456,1.14765197,45.446275
146,153318375,0.075,0.275,1.203953838,1.087377572,43.723821
147,153318375,0.1,0.275,1.256684566,1.142502856,44.513562
148,153318375,0.125,0.275,1.239210665,1.164148569,43.724834
149,153318375,0.15,0.275,1.218980193,1.104035521,45.186356
150,153318375,0.175,0.275,1.212883341,1.080607581,44.120691
151,153318375,0.2,0.275,1.233580184,1.092833924,46.647878
152,153318375,0.225,0.275,1.29658047,1.145411134,43.058034
153,153318375,0.25,0.275,1.290660775,1.131558824,40.504889
154,153318375,0.275,0.275,1.270734036,1.131222105,45.344293
155,153318375,0.3,0.275,1.333436596,1.173166418,41.017697
156,153318375,0,0.3,1.241330004,1.157632947,42.384253
157,153318375,0.025,0.3,1.231500435,1.115214789,46.860801
158,153318375,0.05,0.3,1.213503611,1.101210141,43.692828
159,153318375,0.075,0.3,1.256131864,1.168830311,43.463905
160,153318375,0.1,0.3,1.219220197,1.154419148,45.615206
161,153318375,0.125,0.3,1.246059334,1.162517965,41.308595
162,153318375,0.15,0.3,1.223234057,1.120459735,44.95742
163,153318375,0.175,0.3,1.238349509,1.126273596,42.527223
164,153318375,0.2,0.3,1.258604193,1.096391797,44.117691
165,153318375,0.225,0.3,1.290725982,1.119647694,44.438586
166,153318375,0.25,0.3,1.357895648,1.152041554,43.675836
167,153318375,0.275,0.3,1.308128297,1.140220189,42.992055
168,153318375,0.3,0.3,1.380314505,1.185563946,39.350237
0,3430172015,0,0,12.93584347,12.93584347,27.993939
1,3430172015,0.025,0,1.194986415,1.053856754,47.201719
2,3430172015,0.05,0,1.291025984,1.125581837,44.511553
3,3430172015,0.075,0,1.234873152,1.131013763,47.190702
4,3430172015,0.1,0,1.344845462,1.163159657,40.985718
5,3430172015,0.125,0,1.217413616,1.069260919,46.26506
6,3430172015,0.15,0,1.297151184,1.166926169,42.871085
7,3430172015,0.175,0,1.353782845,1.167373192,43.439901
8,3430172015,0.2,0,1.315350664,1.204423213,43.595861
9,3430172015,0.225,0,1.355863345,1.218731773,39.898059
10,3430172015,0.25,0,1.315622795,1.21047802,45.729167
11,3430172015,0.275,0,1.375105584,1.179528129,41.274613
12,3430172015,0.3,0,1.442557275,1.254966176,37.483889
13,3430172015,0,0.025,12.93584347,12.93584347,30.040279
14,3430172015,0.025,0.025,1.244346988,1.152478671,54.328382
