iteration,seed,dense_layers,learning_rate,optimizer,activation,dropout,rnn_type,rnn_size,rnn_activation,rnn_dropout,last_activation,last_perf,min_perf,time
1,4051455967,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,leaky_relu,0.1,lstm,230,tanh,0.1,relu,1.276500082,1.172784626,45.834156
0,633566240,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0.1,lstm,230,tanh,0.1,relu,1.321457672,1.217640686,49.911836
1,633566240,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,leaky_relu,0.1,lstm,230,tanh,0.1,relu,1.258489645,1.142362678,41.737502
0,283472730,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0.1,lstm,230,tanh,0.1,relu,1.332663679,1.203755236,43.678866
1,283472730,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,leaky_relu,0.1,lstm,230,tanh,0.1,relu,1.253348362,1.124677908,43.881807
0,2154588019,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0.1,lstm,230,tanh,0.1,relu,1.216739404,1.111987722,45.604229
1,2154588019,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,leaky_relu,0.1,lstm,230,tanh,0.1,relu,1.279042006,1.183391571,43.951774
0,2754005755,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0.1,lstm,230,tanh,0.1,relu,1.234696817,1.160059786,47.549605
1,2754005755,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,leaky_relu,0.1,lstm,230,tanh,0.1,relu,1.273378396,1.170445871,44.450611
0,1682690922,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0.1,lstm,230,tanh,0.1,relu,1.23620559,1.135311508,51.803222
1,1682690922,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,leaky_relu,0.1,lstm,230,tanh,0.1,relu,1.235134578,1.106770289,44.364649
0,711182929,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0.1,lstm,230,tanh,0.1,relu,1.272577024,1.173694885,52.665035
1,711182929,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,leaky_relu,0.1,lstm,230,tanh,0.1,relu,1.246330178,1.199477434,49.928827
0,3205942547,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0.1,lstm,230,tanh,0.1,relu,1.276349413,1.193914342,41.773529
1,3205942547,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,leaky_relu,0.1,lstm,230,tanh,0.1,relu,1.265170789,1.147241116,44.570569
0,3918217926,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0.1,lstm,230,tanh,0.1,relu,1.276934385,1.185542071,47.40765
1,3918217926,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,leaky_relu,0.1,lstm,230,tanh,0.1,relu,1.264151144,1.163637733,46.481948
0,86206892,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0.1,lstm,230,tanh,0.1,relu,1.260519469,1.161474788,46.483945
1,86206892,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,leaky_relu,0.1,lstm,230,tanh,0.1,relu,1.249644411,1.137277937,45.870143
0,3515543206,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0.1,lstm,230,tanh,0.1,relu,1.243670201,1.151794982,48.461326
1,3515543206,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,leaky_relu,0.1,lstm,230,tanh,0.1,relu,1.178309584,1.036669898,49.271043
0,2496716146,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0.1,lstm,230,tanh,0.1,relu,1.255551779,1.132054162,49.877851
1,2496716146,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,leaky_relu,0.1,lstm,230,tanh,0.1,relu,1.251871586,1.127368617,47.03877
0,2096835843,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0.1,lstm,230,tanh,0.1,relu,1.269574308,1.178198314,45.836166
1,2096835843,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,leaky_relu,0.1,lstm,230,tanh,0.1,relu,1.295652199,1.181539905,44.880471
0,3873623716,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0.1,lstm,230,tanh,0.1,relu,1.314239085,1.206559086,43.380995
1,3873623716,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,leaky_relu,0.1,lstm,230,tanh,0.1,relu,1.277144158,1.172465396,40.987735
0,3207062459,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0.1,lstm,230,tanh,0.1,relu,1.323397005,1.225480235,46.715888
