iteration,seed,activation,rnn_activation,last_perf,min_perf,time
in,in,in,in,out,out,out
int,float,str,str,float,float,float
1,1419085027,relu,relu,1.30185765,1.159064996,46.636248
0,3371068514,relu,tanh,1.262547112,1.160509062,48.924564
1,3371068514,relu,relu,1.310552013,1.206911755,45.964712
0,2960281705,relu,tanh,1.27727809,1.120548224,45.39076
1,2960281705,relu,relu,1.367241287,1.251773441,48.543927
0,972483891,relu,tanh,1.238644898,1.128801751,50.574883
1,972483891,relu,relu,1.291932011,1.168403947,48.225911
0,885230567,relu,tanh,1.269999766,1.172381282,49.203003
1,885230567,relu,relu,1.288084495,1.168141973,47.930357
0,3987089457,relu,tanh,1.217391419,1.136127818,50.19818
1,3987089457,relu,relu,1.297213411,1.154399097,47.473213
0,1192847340,relu,tanh,1.283111668,1.161998022,45.560503
1,1192847340,relu,relu,1.312316453,1.185606039,48.515226
0,1570965011,relu,tanh,1.271251178,1.1671507,44.212935
1,1570965011,relu,relu,1.308190322,1.158131087,47.123163
0,1917421478,relu,tanh,1.353601956,1.194542694,44.816659
1,1917421478,relu,relu,1.276400709,1.149145496,48.239822
0,2226430058,relu,tanh,1.232039297,1.117209041,50.031133
1,2226430058,relu,relu,1.358698642,1.23501991,47.160097
0,629839078,relu,tanh,1.259021854,1.193218732,44.844828
1,629839078,relu,relu,1.305468023,1.18498944,49.202233
0,2722884424,relu,tanh,1.33826046,1.225623286,47.282402
1,2722884424,relu,relu,1.340118289,1.202733624,45.621073
0,1910338276,relu,tanh,1.226502311,1.0806005,50.192131
1,1910338276,relu,relu,1.278829849,1.17035017,47.641251
0,1263608459,relu,tanh,1.302433038,1.218821597,46.306153
1,1263608459,relu,relu,1.297068024,1.184167874,51.233404
0,2535371233,relu,tanh,1.277584875,1.171156693,47.590024
1,2535371233,relu,relu,1.274346888,1.175449288,47.160118
0,279471586,relu,tanh,1.241446614,1.153677928,45.238254
1,279471586,relu,relu,1.286739218,1.181448555,50.315552
0,859299852,relu,tanh,1.316712821,1.186222041,48.871332
1,859299852,relu,relu,1.351925111,1.225867736,47.601844
0,1297887874,relu,tanh,1.289573443,1.216332006,48.153921
1,1297887874,relu,relu,1.314603043,1.208858681,47.477919
0,525517094,relu,tanh,1.248842919,1.128558946,49.611739
1,525517094,relu,relu,1.354505813,1.1232481,45.280988
0,1100724247,relu,tanh,1.228261697,1.075961208,50.562148
1,1100724247,relu,relu,1.318989277,1.22210809,48.436753
0,656695507,relu,tanh,1.2849666,1.117002809,48.058542
1,656695507,relu,relu,2.757567847,1.850489426,44.517933
0,896444342,relu,tanh,1.251267827,1.12723937,50.599777
1,896444342,relu,relu,1.31568619,1.202433848,47.513496
0,518285108,relu,tanh,1.302830613,1.157214785,49.02126
1,518285108,relu,relu,1.242553449,1.126098919,46.928451
0,4025998449,relu,tanh,1.307475626,1.167298031,47.761224
1,4025998449,relu,relu,1.325849009,1.205672157,45.732606
0,2188361195,relu,tanh,1.280568123,1.103319216,52.696007
1,2188361195,relu,relu,1.308552229,1.153635561,47.991588
0,3005496463,relu,tanh,1.282100773,1.197735572,51.062277
1,3005496463,relu,relu,1.323729253,1.183218753,50.576122
0,4084963610,relu,tanh,1.301175451,1.219371712,49.213392
1,4084963610,relu,relu,1.307999027,1.194224346,46.774871
0,1152581601,relu,tanh,1.269995761,1.151407301,47.621483
1,1152581601,relu,relu,1.279241788,1.184487927,46.526742
0,2311214386,relu,tanh,1.316956854,1.229999483,45.556961
1,2311214386,relu,relu,1.364770412,1.236574149,48.314157
0,368031844,relu,tanh,1.302441847,1.169839895,44.506488
1,368031844,relu,relu,1.345725048,1.196231115,48.890266
0,3707169125,relu,tanh,1.285961699,1.151140082,48.021998
1,3707169125,relu,relu,1.255915189,1.115266418,46.805207
0,1901533340,relu,tanh,1.277751017,1.149675524,48.887354
1,1901533340,relu,relu,1.21942637,1.12625246,48.211941
0,2571750042,relu,tanh,1.218818569,1.133123696,48.611867
1,2571750042,relu,relu,1.279809475,1.159912503,48.204121
0,2866143406,relu,tanh,1.303645074,1.150021625,48.959228
1,2866143406,relu,relu,1.342709816,1.232234395,46.099957
0,2147347914,relu,tanh,1.295304716,1.202033782,47.54466
1,2147347914,relu,relu,1.285453284,1.15525378,48.404248
0,1210327146,relu,tanh,1.221160924,1.127235818,46.879127
1,1210327146,relu,relu,1.380100179,1.204327118,46.461982
0,4191048841,relu,tanh,1.295887446,1.165833843,49.003513
1,4191048841,relu,relu,1.275574672,1.179719079,46.331042
0,3842761137,relu,tanh,1.316667163,1.158667636,44.220951
1,3842761137,relu,relu,1.317127013,1.186027873,47.87616
0,2335158852,relu,tanh,1.298777199,1.133698797,46.730827
1,2335158852,relu,relu,1.317566407,1.173099518,46.727891
0,1354802750,relu,tanh,1.262048519,1.152369714,52.333415
1,1354802750,relu,relu,1.269014907,1.139222157,46.992895
0,278451963,relu,tanh,1.250848532,1.128717041,50.305191
1,278451963,relu,relu,1.297318113,1.161753201,47.649084
0,2130233434,relu,tanh,1.258220446,1.153240144,50.022499
1,2130233434,relu,relu,1.283216822,1.175664794,48.195087
0,3970944165,relu,tanh,1.29206028,1.168633521,49.042009
1,3970944165,relu,relu,1.281539154,1.149389684,48.916557
0,2150902366,relu,tanh,1.287541401,1.144438279,52.39892
1,2150902366,relu,relu,1.301715016,1.209809244,45.465174
0,2278402811,relu,tanh,1.32735914,1.175701523,45.367088
1,2278402811,relu,relu,1.308057964,1.193270683,46.830092
0,3897729530,relu,tanh,1.29420501,1.211024141,47.40379
1,3897729530,relu,relu,1.292594564,1.158670318,46.476147
0,4192951090,relu,tanh,1.206636596,1.069236946,52.845773
1,4192951090,relu,relu,1.275916255,1.14544332,44.588113
0,306712199,relu,tanh,1.273078656,1.180453157,46.18174
1,306712199,relu,relu,1.341555321,1.165704131,47.147913
0,1580088710,relu,tanh,1.336570287,1.174460602,49.005793
1,1580088710,relu,relu,1.294506967,1.207390559,49.355752
0,3242368724,relu,tanh,1.242717957,1.161738133,49.234448
1,3242368724,relu,relu,1.327967036,1.194784653,47.385282
0,3625232215,relu,tanh,1.251957095,1.145938039,48.063766
1,3625232215,relu,relu,1.403056836,1.229467773,44.321679
0,2673072951,relu,tanh,1.364375687,1.249699724,46.20816
1,2673072951,relu,relu,1.282248938,1.155313265,45.972131
0,1940767665,relu,tanh,1.334887898,1.211422861,47.334012
