iteration,dense_layers,learning_rate,optimizer,activation,dropout,rnn_activation,rnn_dropout,last_activation,rnn_type,rnn_size,last_perf,min_perf,time,
46,10,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0,tanh,0,linear,simplernn,275,1.721450639,1.414472687,29.062494
,,,,,,,,,,,,,,
47,10,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0,tanh,0,linear,simplernn,290,1.734519243,1.452241468,27.847796
,,,,,,,,,,,,,,
48,10,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0,tanh,0,linear,simplernn,305,1.51313684,1.475719643,29.617614
,,,,,,,,,,,,,,
49,10,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0,tanh,0,linear,simplernn,320,1.769993448,1.555661607,26.220334
,,,,,,,,,,,,,,
50,10,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0,tanh,0,linear,simplernn,335,1.715034986,1.45477035,25.977321
,,,,,,,,,,,,,,
51,10,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0,tanh,0,linear,simplernn,350,1.63787353,1.487539101,30.593629
,,,,,,,,,,,,,,
52,10,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0,tanh,0,linear,simplernn,365,1.774540806,1.591557574,22.214481
,,,,,,,,,,,,,,
53,10,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0,tanh,0,linear,simplernn,380,1.48093071,1.426727605,34.937547
,,,,,,,,,,,,,,
54,10,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0,tanh,0,linear,simplernn,395,1.689522004,1.581023788,80.421425
,,,,,,,,,,,,,,
55,10,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0,tanh,0,linear,simplernn,410,1.698231673,1.516276312,115.990088
,,,,,,,,,,,,,,
56,10,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0,tanh,0,linear,simplernn,425,1.885553908,1.630819106,28.628065
,,,,,,,,,,,,,,
57,10,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0,tanh,0,linear,simplernn,440,2.088415217,1.732248545,26.608117
,,,,,,,,,,,,,,
58,10,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0,tanh,0,linear,simplernn,455,1.617426777,1.528647518,58.193843
,,,,,,,,,,,,,,
59,10,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0,tanh,0,linear,simplernn,470,1.573229361,1.499007034,295.959331
,,,,,,,,,,,,,,
60,10,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0,tanh,0,linear,simplernn,485,1.548890662,1.507072997,33.91198
,,,,,,,,,,,,,,
0,11,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0,tanh,0,linear,none,0,1.82803793,1.266426599,8.525286
,,,,,,,,,,,,,,
1,11,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0,tanh,0,linear,lstm,50,1.206426299,1.077848351,40.797785
,,,,,,,,,,,,,,
2,11,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0,tanh,0,linear,lstm,65,1.261439657,1.096329451,35.059644
,,,,,,,,,,,,,,
3,11,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0,tanh,0,linear,lstm,80,1.333159518,1.207177281,40.493882
,,,,,,,,,,,,,,
4,11,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0,tanh,0,linear,lstm,95,1.231013763,1.115237141,40.067028
,,,,,,,,,,,,,,
5,11,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0,tanh,0,linear,lstm,110,1.242791784,1.1156142,38.459546
,,,,,,,,,,,,,,
6,11,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0,tanh,0,linear,lstm,125,1.302586889,1.177023208,30.688063
,,,,,,,,,,,,,,
7,11,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0,tanh,0,linear,lstm,140,1.164817429,1.047349072,45.787172
,,,,,,,,,,,,,,
8,11,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0,tanh,0,linear,lstm,155,1.237510538,1.136083364,39.991049
,,,,,,,,,,,,,,
9,11,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0,tanh,0,linear,lstm,170,1.223746872,1.115002835,39.958066
,,,,,,,,,,,,,,
10,11,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0,tanh,0,linear,lstm,185,1.138341177,0.984079772,44.998425
,,,,,,,,,,,,,,
11,11,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0,tanh,0,linear,lstm,200,1.318346524,1.224081957,34.683765
,,,,,,,,,,,,,,
12,11,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0,tanh,0,linear,lstm,215,1.26716795,1.116788423,38.607503
,,,,,,,,,,,,,,
13,11,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0,tanh,0,linear,lstm,230,1.183424628,1.067425036,43.597879
,,,,,,,,,,,,,,
14,11,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0,tanh,0,linear,lstm,245,1.26048615,1.196751976,42.466259
,,,,,,,,,,,,,,
15,11,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0,tanh,0,linear,lstm,260,1.269187117,1.126956069,36.086311
,,,,,,,,,,,,,,
16,11,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0,tanh,0,linear,lstm,275,1.19321332,1.009577942,44.478594
,,,,,,,,,,,,,,
17,11,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0,tanh,0,linear,lstm,290,1.280922008,1.133510423,38.46355
,,,,,,,,,,,,,,
18,11,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0,tanh,0,linear,lstm,305,1.234483087,1.113055444,38.145646
,,,,,,,,,,,,,,
19,11,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0,tanh,0,linear,lstm,320,1.304633403,1.154009163,36.557162
,,,,,,,,,,,,,,
20,11,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0,tanh,0,linear,lstm,335,1.183522356,1.069914079,45.597233
,,,,,,,,,,,,,,
21,11,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0,tanh,0,linear,lstm,350,1.240289426,1.121098936,38.000692
,,,,,,,,,,,,,,
22,11,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0,tanh,0,linear,lstm,365,1.194239509,1.082501733,42.051382
,,,,,,,,,,,,,,
23,11,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0,tanh,0,linear,lstm,380,1.229632783,1.088248992,47.941475
,,,,,,,,,,,,,,
24,11,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0,tanh,0,linear,lstm,395,1.170872855,1.041522598,45.23435
,,,,,,,,,,,,,,
25,11,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0,tanh,0,linear,lstm,410,1.270975614,1.088157487,44.012746
,,,,,,,,,,,,,,
26,11,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0,tanh,0,linear,lstm,425,1.264931774,1.122685683,46.270015
,,,,,,,,,,,,,,
27,11,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0,tanh,0,linear,lstm,440,1.239395487,1.113877237,52.58597
,,,,,,,,,,,,,,
28,11,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0,tanh,0,linear,lstm,455,1.242604315,1.103942156,49.716897
,,,,,,,,,,,,,,
29,11,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0,tanh,0,linear,lstm,470,1.316480899,1.197182524,45.940121
,,,,,,,,,,,,,,
30,11,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0,tanh,0,linear,lstm,485,1.355397177,1.198297882,46.715871
,,,,,,,,,,,,,,
31,11,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0,tanh,0,linear,simplernn,50,1.657748246,1.300246513,17.397414
,,,,,,,,,,,,,,
32,11,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0,tanh,0,linear,simplernn,65,1.46607877,1.28179493,18.947865
,,,,,,,,,,,,,,
33,11,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0,tanh,0,linear,simplernn,80,1.524648094,1.314460611,18.243091
,,,,,,,,,,,,,,
34,11,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0,tanh,0,linear,simplernn,95,1.659875798,1.275833607,17.023488
,,,,,,,,,,,,,,
35,11,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0,tanh,0,linear,simplernn,110,1.73319726,1.240063906,18.042158
,,,,,,,,,,,,,,
36,11,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0,tanh,0,linear,simplernn,125,1.546666694,1.243028593,19.075822
,,,,,,,,,,,,,,
37,11,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0,tanh,0,linear,simplernn,140,1.742098522,1.396665406,19.469697
,,,,,,,,,,,,,,
38,11,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0,tanh,0,linear,simplernn,155,1.840312624,1.40874809,18.684949
,,,,,,,,,,,,,,
39,11,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0,tanh,0,linear,simplernn,170,1.572629619,1.383568406,21.36808
,,,,,,,,,,,,,,
40,11,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0,tanh,0,linear,simplernn,185,1.621725583,1.414122248,23.455402
,,,,,,,,,,,,,,
41,11,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0,tanh,0,linear,simplernn,200,1.757574701,1.419279981,22.865594
,,,,,,,,,,,,,,
42,11,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0,tanh,0,linear,simplernn,215,1.630197144,1.446317339,22.548695
,,,,,,,,,,,,,,
43,11,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0,tanh,0,linear,simplernn,230,1.763280058,1.340247679,21.927899
,,,,,,,,,,,,,,
44,11,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0,tanh,0,linear,simplernn,245,1.774364924,1.523167706,21.046183
,,,,,,,,,,,,,,
45,11,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0,tanh,0,linear,simplernn,260,1.852269578,1.528818226,20.553343
,,,,,,,,,,,,,,
46,11,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0,tanh,0,linear,simplernn,275,1.549832702,1.387460065,25.525732
,,,,,,,,,,,,,,
47,11,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0,tanh,0,linear,simplernn,290,1.743795872,1.536686707,23.025544
,,,,,,,,,,,,,,
48,11,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0,tanh,0,linear,simplernn,305,1.733823729,1.550347805,23.136508
,,,,,,,,,,,,,,
49,11,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0,tanh,0,linear,simplernn,320,1.678030801,1.436138296,27.166203
,,,,,,,,,,,,,,
50,11,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0,tanh,0,linear,simplernn,335,1.528741574,1.480343604,25.463755
,,,,,,,,,,,,,,
51,11,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0,tanh,0,linear,simplernn,350,1.616218567,1.523937058,23.183492
,,,,,,,,,,,,,,
52,11,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0,tanh,0,linear,simplernn,365,1.783990955,1.510663414,22.2528
,,,,,,,,,,,,,,
53,11,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0,tanh,0,linear,simplernn,380,1.52325387,1.477299595,30.672092
,,,,,,,,,,,,,,
54,11,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0,tanh,0,linear,simplernn,395,1.555122113,1.484446096,25.435763
,,,,,,,,,,,,,,
55,11,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0,tanh,0,linear,simplernn,410,1.760386014,1.648054171,25.633698
,,,,,,,,,,,,,,
56,11,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0,tanh,0,linear,simplernn,425,1.548030806,1.478744364,32.960325
,,,,,,,,,,,,,,
57,11,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0,tanh,0,linear,simplernn,440,1.620178628,1.565547514,26.300483
,,,,,,,,,,,,,,
58,11,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0,tanh,0,linear,simplernn,455,1.760129118,1.547633195,26.355463
,,,,,,,,,,,,,,
59,11,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0,tanh,0,linear,simplernn,470,1.63762064,1.520436072,31.041947
,,,,,,,,,,,,,,
60,11,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0,tanh,0,linear,simplernn,485,1.657169247,1.564799595,25.731667
,,,,,,,,,,,,,,
0,12,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0,tanh,0,linear,none,0,1.890418553,1.272559416,6.983738
,,,,,,,,,,,,,,
1,12,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0,tanh,0,linear,lstm,50,1.179120028,1.053896356,41.446576
,,,,,,,,,,,,,,
2,12,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0,tanh,0,linear,lstm,65,1.274421644,1.151214302,44.848473
,,,,,,,,,,,,,,
3,12,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0,tanh,0,linear,lstm,80,1.22282877,1.129024684,40.91175
,,,,,,,,,,,,,,
4,12,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0,tanh,0,linear,lstm,95,1.273576283,1.156805527,41.855445
,,,,,,,,,,,,,,
5,12,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0,tanh,0,linear,lstm,110,1.289431453,1.16825968,38.81143
,,,,,,,,,,,,,,
6,12,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0,tanh,0,linear,lstm,125,1.238340604,1.06685071,34.556807
,,,,,,,,,,,,,,
7,12,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0,tanh,0,linear,lstm,140,1.203797853,1.069960845,36.607145
,,,,,,,,,,,,,,
8,12,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0,tanh,0,linear,lstm,155,1.249524689,1.143461668,43.551894
,,,,,,,,,,,,,,
9,12,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0,tanh,0,linear,lstm,170,1.235330379,1.101029241,40.176987
,,,,,,,,,,,,,,
10,12,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0,tanh,0,linear,lstm,185,1.250450349,1.156138241,53.267764
,,,,,,,,,,,,,,
11,12,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0,tanh,0,linear,lstm,200,1.116977513,1.029515159,45.680206
,,,,,,,,,,,,,,
12,12,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0,tanh,0,linear,lstm,215,1.252464056,1.137267697,37.938708
,,,,,,,,,,,,,,
13,12,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0,tanh,0,linear,lstm,230,1.219700015,1.130956376,42.760151
,,,,,,,,,,,,,,
14,12,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0,tanh,0,linear,lstm,245,1.265015078,1.113714421,40.29195
,,,,,,,,,,,,,,
15,12,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0,tanh,0,linear,lstm,260,1.223153579,1.120312667,37.015017
,,,,,,,,,,,,,,
16,12,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0,tanh,0,linear,lstm,275,1.167148089,1.065488112,43.708843
,,,,,,,,,,,,,,
17,12,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0,tanh,0,linear,lstm,290,1.216042185,1.094283819,37.925716
,,,,,,,,,,,,,,
18,12,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0,tanh,0,linear,lstm,305,1.365101588,1.207677746,38.000689
,,,,,,,,,,,,,,
19,12,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0,tanh,0,linear,lstm,320,1.311305988,1.122906804,44.232665
,,,,,,,,,,,,,,
20,12,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0,tanh,0,linear,lstm,335,1.195856011,1.120402575,43.34796
,,,,,,,,,,,,,,
21,12,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0,tanh,0,linear,lstm,350,1.190834117,1.069826889,44.877464
,,,,,,,,,,,,,,
