iteration,learning_rate,last_perf,last_perf_cap,min_perf,time
in,in,out,out,out,out
int,float,float,float,float,float
114,6.00E-07,12.93332729,12.93332729,12.93332729,55.645128
115,6.14E-07,12.9333086,12.9333086,12.9333086,56.684733
116,6.29E-07,12.9332901,12.9332901,12.9332901,56.166116
117,6.43E-07,12.93327084,12.93327084,12.93327084,55.123496
118,6.57E-07,12.93325176,12.93325176,12.93325176,53.565032
119,6.71E-07,12.93323269,12.93323269,12.93323269,53.365133
120,6.86E-07,12.93319931,12.93319931,12.93319931,54.820147
121,7.00E-07,12.93318386,12.93318386,12.93318386,53.093945
122,7.14E-07,12.93316879,12.93316879,12.93316879,53.504003
123,7.14E-07,12.93316879,12.93316879,12.93316879,59.854021
124,7.29E-07,12.93315392,12.93315392,12.93315392,52.635492
125,7.43E-07,12.87102661,12.87102661,12.87102661,117.783666
126,7.57E-07,12.86755104,12.86755104,12.86755104,110.038899
127,7.71E-07,12.86384544,12.86384544,12.86384544,110.3254
128,7.86E-07,12.85989056,12.85989056,12.85989056,110.005769
129,8.00E-07,12.85563908,12.85563908,12.85563908,116.049849
130,8.14E-07,12.8510931,12.8510931,12.8510931,111.108474
131,8.29E-07,12.84620895,12.84620895,12.84620895,111.217527
132,8.43E-07,12.84097137,12.84097137,12.84097137,110.521663
133,8.57E-07,12.83536034,12.83536034,12.83536034,111.80763
134,8.57E-07,12.83536034,12.83536034,12.83536034,120.764117
135,8.71E-07,12.82931557,12.82931557,12.82931557,110.827526
136,8.86E-07,12.82282543,12.82282543,12.82282543,112.230444
137,9.00E-07,12.8158556,12.8158556,12.8158556,113.418189
138,9.14E-07,12.80837421,12.80837421,12.80837421,111.303145
139,9.29E-07,12.70130291,12.70130291,12.70130291,181.726847
140,9.43E-07,12.68642063,12.68642063,12.68642063,167.725241
141,9.57E-07,12.67040367,12.67040367,12.67040367,167.705639
142,9.71E-07,12.51137524,12.51137524,12.51137524,225.0862
143,9.86E-07,12.48257408,12.48257408,12.48257408,224.299299
144,1.00E-06,12.31726704,12.31726704,12.31726704,284.424706
145,1.14E-06,11.43003178,11.43003178,11.43003178,358.60852
146,1.29E-06,9.837428474,9.837428474,9.837428474,337.281962
147,1.43E-06,7.283477306,7.283477306,7.283477306,337.750516
148,1.43E-06,7.283477306,7.283477306,7.283477306,360.613434
149,1.57E-06,5.091870594,5.091870594,5.091870594,337.338438
150,1.71E-06,4.327711153,4.327711153,4.327711153,354.17654
151,1.86E-06,4.00478158,4.00478158,4.00478158,359.589534
152,2.00E-06,3.751649714,3.751649714,3.751649714,337.703947
153,2.14E-06,3.538096809,3.538096809,3.538096809,338.039843
154,2.29E-06,3.351181316,3.351181316,3.351181316,338.117504
155,2.43E-06,3.285997248,3.285997248,3.285997152,354.093654
156,2.57E-06,3.159066677,3.159066677,3.157332277,326.379613
157,2.71E-06,3.039354706,3.039354706,3.036906481,325.83064
158,2.86E-06,2.939966393,2.939966393,2.938268661,325.357162
159,2.86E-06,2.939966393,2.939966393,2.938268661,325.697822
160,3.00E-06,2.859547091,2.859547091,2.857567167,322.314937
161,3.14E-06,2.805049753,2.805049753,2.803928232,321.828336
