iteration,seed,dense_layers,learning_rate,optimizer,activation,dropout,rnn_type,rnn_size,rnn_activation,rnn_dropout,last_activation,last_perf,min_perf,time
59,2445898424,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0.175,lstm,230,tanh,0.1,relu,1.2502627730369569,1.1623422622680664,47.095659
60,2445898424,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0.2,lstm,230,tanh,0.1,relu,1.240701138973236,1.1570824146270753,46.903822
61,2445898424,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0.225,lstm,230,tanh,0.1,relu,1.4318840503692627,1.2896628618240356,46.574746
62,2445898424,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0.25,lstm,230,tanh,0.1,relu,1.3179466247558593,1.2132721185684203,46.084051
63,2445898424,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0.275,lstm,230,tanh,0.1,relu,1.3298121809959411,1.185506522655487,45.260024
64,2445898424,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0.3,lstm,230,tanh,0.1,relu,1.3635206818580627,1.1863917350769042,45.67687899999999
65,2445898424,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0,lstm,230,tanh,0.125,relu,1.2498209357261658,1.1477484583854676,42.717524999999995
66,2445898424,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0.025,lstm,230,tanh,0.125,relu,1.250406527519226,1.1500488877296449,48.268834999999996
67,2445898424,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0.05,lstm,230,tanh,0.125,relu,1.3003541946411132,1.1955778837203979,44.279509000000004
68,2445898424,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0.075,lstm,230,tanh,0.125,relu,1.2330538392066956,1.1460078477859497,45.238378999999995
69,2445898424,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0.1,lstm,230,tanh,0.125,relu,1.2332921624183655,1.1577456831932067,46.681199
70,2445898424,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0.125,lstm,230,tanh,0.125,relu,1.2827065467834473,1.1465674996376038,43.730091
71,2445898424,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0.15,lstm,230,tanh,0.125,relu,1.280832552909851,1.202760910987854,44.366715
72,2445898424,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0.175,lstm,230,tanh,0.125,relu,1.1979493856430055,1.1170227885246278,49.844005
73,2445898424,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0.2,lstm,230,tanh,0.125,relu,1.2733514547348022,1.1810248613357544,48.182646000000005
74,2445898424,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0.225,lstm,230,tanh,0.125,relu,1.3955115795135498,1.2074131846427918,44.528493999999995
75,2445898424,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0.25,lstm,230,tanh,0.125,relu,1.3987754464149476,1.1983428478240967,47.175035
76,2445898424,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0.275,lstm,230,tanh,0.125,relu,1.2523467659950256,1.1730205416679382,47.570702999999995
77,2445898424,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0.3,lstm,230,tanh,0.125,relu,1.342202365398407,1.2070134043693543,49.540634
78,2445898424,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0,lstm,230,tanh,0.15,relu,1.3081559419631958,1.2286035776138307,44.019863
79,2445898424,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0.025,lstm,230,tanh,0.15,relu,1.2148731112480164,1.0854492902755737,48.618959000000004
80,2445898424,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0.05,lstm,230,tanh,0.15,relu,1.302207100391388,1.2072721123695374,46.687518
81,2445898424,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0.075,lstm,230,tanh,0.15,relu,1.3160666227340698,1.207202422618866,50.18178
82,2445898424,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0.1,lstm,230,tanh,0.15,relu,1.2125139236450195,1.1610273599624634,48.424279999999996
83,2445898424,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0.125,lstm,230,tanh,0.15,relu,1.2705227136611938,1.145901870727539,44.646106
84,2445898424,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0.15,lstm,230,tanh,0.15,relu,1.2376703381538392,1.1690013408660889,49.675531
85,2445898424,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0.175,lstm,230,tanh,0.15,relu,1.2016225099563598,1.1177385210990907,49.285551000000005
86,2445898424,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0.2,lstm,230,tanh,0.15,relu,1.232671844959259,1.1471716642379761,49.14562500000001
87,2445898424,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0.225,lstm,230,tanh,0.15,relu,1.3830265879631043,1.2116156697273255,46.441497000000005
88,2445898424,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0.25,lstm,230,tanh,0.15,relu,1.3363796710968017,1.1717061400413513,45.71346299999999
89,2445898424,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0.275,lstm,230,tanh,0.15,relu,1.2745499968528748,1.1912559628486634,45.5708
90,2445898424,"[139, 486, 152, 79, 61, 0, 0, 0, 0, 0]",0.005,adam,relu,0.3,lstm,230,tanh,0.15,relu,1.3344595193862916,1.2160381436347962,45.267078000000005
