iteration,seed,last_activation,last_perf,min_perf,time
0,2177234907,linear,1.188863909,1.099492574,50.605635
1,2177234907,relu,1.292171347,1.148297322,59.127839
2,2177234907,leaky_relu,1.171802473,1.071241343,48.751213
0,389679588,linear,1.207552063,1.114015377,43.041049
1,389679588,relu,1.268898547,1.117178595,50.894498
2,389679588,leaky_relu,1.268775845,1.086336374,43.213006
0,3617935245,linear,1.309782934,1.18044821,49.619931
1,3617935245,relu,1.242636621,1.122645247,49.160053
2,3617935245,leaky_relu,1.317970467,1.16389339,44.729499
0,96189881,linear,1.285530448,1.203052032,53.296731
1,96189881,relu,1.238772953,1.139325011,45.966112
2,96189881,leaky_relu,1.252541077,1.169803059,49.667914
0,3111238245,linear,1.286773121,1.116286874,48.139418
1,3111238245,relu,1.306918633,1.181690598,48.699208
2,3111238245,leaky_relu,1.341145289,1.162972343,46.130059
0,1962110594,linear,1.331823695,1.194961536,42.411254
1,1962110594,relu,1.256129277,1.147589576,45.092405
2,1962110594,leaky_relu,1.279195678,1.159335399,45.805164
0,4076991620,linear,1.31282624,1.187677491,45.441259
1,4076991620,relu,1.359546709,1.252317679,42.388272
2,4076991620,leaky_relu,1.348012674,1.215522814,46.21302
0,3079425355,linear,1.268269706,1.157729363,44.142704
1,3079425355,relu,1.235522223,1.140085292,46.166064
2,3079425355,leaky_relu,1.290300667,1.175213099,40.586854
0,372920776,linear,1.306593633,1.119288743,45.061405
1,372920776,relu,1.322128558,1.133496058,44.296652
2,372920776,leaky_relu,1.314281595,1.181145144,40.87078
0,3976071691,linear,1.275400066,1.117443681,47.223706
1,3976071691,relu,1.242468977,1.129054761,48.386332
2,3976071691,leaky_relu,1.230336428,1.119734621,53.622635
0,1201652642,linear,1.279573381,1.196493399,49.434981
1,1201652642,relu,1.288556755,1.181955194,48.351319
2,1201652642,leaky_relu,1.314826334,1.234771681,46.153052
0,1943760792,linear,1.279024732,1.171744525,46.585899
1,1943760792,relu,1.281561339,1.149149442,45.548237
2,1943760792,leaky_relu,1.339336348,1.240774977,43.060053
0,3082455526,linear,1.168053448,1.056331193,51.280391
1,3082455526,relu,1.166278362,1.06089282,51.667267
2,3082455526,leaky_relu,1.166342592,1.05584408,49.790874
0,2820641687,linear,1.279138768,1.171720362,44.708501
1,2820641687,relu,1.284013093,1.168790197,47.045751
2,2820641687,leaky_relu,1.294989395,1.170204902,45.7152
0,2230645235,linear,1.270518434,1.16932869,48.373329
1,2230645235,relu,1.283279741,1.149867737,47.170724
2,2230645235,leaky_relu,1.279223752,1.153037226,48.187393
0,2157290415,linear,1.267075098,1.152411735,46.38299
1,2157290415,relu,1.267075098,1.152411759,46.403969
2,2157290415,leaky_relu,1.267075098,1.152411735,46.493942
0,3079472126,linear,1.183440387,1.068035746,44.648605
1,3079472126,relu,1.183440399,1.068035746,44.623547
2,3079472126,leaky_relu,1.183440459,1.068035734,44.690523
0,1973819554,linear,1.307824767,1.198886096,43.986754
1,1973819554,relu,1.315978169,1.261059725,52.669955
2,1973819554,leaky_relu,1.300490475,1.224947536,43.112045
0,2025409717,linear,1.281678951,1.174692059,41.186649
1,2025409717,relu,1.226405537,1.11207155,48.10243
2,2025409717,leaky_relu,1.29440136,1.194926667,39.741115
0,3415538836,linear,1.263851452,1.15235225,44.173696
1,3415538836,relu,1.277532434,1.174610436,44.26766
2,3415538836,leaky_relu,1.284392786,1.182296157,45.488268
0,3343662335,linear,1.234085894,1.126183558,43.987741
1,3343662335,relu,1.28051883,1.160254562,43.185003
2,3343662335,leaky_relu,1.251351917,1.155335021,43.871776
0,3151616370,linear,1.262631059,1.13721087,38.013689
1,3151616370,relu,1.222651041,1.117660129,39.335258
2,3151616370,leaky_relu,1.174522185,1.041893196,43.025067
0,1011418226,linear,1.278483725,1.144569099,48.181394
1,1011418226,relu,1.279248178,1.186444163,46.131058
2,1011418226,leaky_relu,1.206239355,1.151242924,52.321054
0,525290642,linear,1.28053149,1.19966228,42.683164
1,525290642,relu,1.277942073,1.165630865,42.914112
2,525290642,leaky_relu,1.219825172,1.144003963,45.871143
0,1301968587,linear,1.261967051,1.175470674,43.523891
1,1301968587,relu,1.248385918,1.14235307,45.321322
2,1301968587,leaky_relu,1.220744967,1.152007508,52.919861
0,902776290,linear,1.325890136,1.200340402,43.89877
1,902776290,relu,1.300247669,1.155601907,43.324968
2,902776290,leaky_relu,1.284369075,1.201783514,46.59091
0,3482944271,linear,1.28326714,1.177291656,46.634885
1,3482944271,relu,1.269796598,1.16730653,49.318026
2,3482944271,leaky_relu,1.307549906,1.198982096,45.191372
0,951544050,linear,1.24579407,1.167534506,45.310313
1,951544050,relu,1.245187664,1.150547445,49.621949
2,951544050,leaky_relu,1.267261326,1.161519074,43.04606
0,1367238869,linear,1.275918698,1.164343977,50.810543
1,1367238869,relu,1.276815856,1.162231469,45.389301
2,1367238869,leaky_relu,1.270520484,1.17559377,47.906497
0,624555271,linear,1.267088914,1.14657954,48.411307
1,624555271,relu,1.263358843,1.182344711,50.001807
2,624555271,leaky_relu,1.316108608,1.225089478,44.139706
