iteration,seed,rnn_type,rnn_size,last_perf,min_perf,time
in,in,in,in,out,out,out
int,int,str,int,float,float,float
0,6,none,0,1.695903325,1.311879301,9.336148
1,6,lstm,50,1.20652554,1.100546134,42.648521
2,6,lstm,65,1.200823486,1.090474951,39.995839
3,6,lstm,80,1.217272413,1.121525383,40.728809
4,6,lstm,95,1.269186497,1.13883487,34.143585
5,6,lstm,110,1.191508675,1.062481284,38.551746
6,6,lstm,125,1.280727267,1.164387167,34.1653
7,6,lstm,140,1.215926969,1.089759207,37.688069
8,6,lstm,155,1.240929079,1.126167762,38.613454
9,6,lstm,170,1.243045807,1.14250232,38.836626
10,6,lstm,185,1.165944231,1.070692945,38.179955
11,6,lstm,200,1.259644103,1.150764275,36.879012
12,6,lstm,215,1.176974213,1.086143398,39.510701
13,6,lstm,230,1.196740091,1.065331256,38.661453
14,6,lstm,245,1.207650137,1.104295743,39.944747
15,6,lstm,260,1.275573325,1.010347021,41.861729
16,6,lstm,275,1.153989327,1.026033306,42.166728
17,6,lstm,290,1.266955352,1.121776867,38.308804
18,6,lstm,305,1.276159632,1.122912502,38.60874
19,6,lstm,320,1.254616332,1.12296679,41.197257
20,6,lstm,335,1.283288693,1.161899137,39.329679
21,6,lstm,350,1.201345479,1.053099287,41.991562
22,6,lstm,365,1.192056346,1.079119647,41.67061
23,6,lstm,380,1.137654471,1.047671688,49.273966
24,6,lstm,395,1.213376629,1.17011894,45.89584
25,6,lstm,410,1.265183675,1.140685892,44.536715
26,6,lstm,425,1.29437995,1.106183827,41.85671
27,6,lstm,440,1.294209361,1.17032479,43.192714
28,6,lstm,455,1.337863851,1.173314762,44.320436
29,6,lstm,470,1.502002668,1.274797583,39.950941
30,6,lstm,485,1.359134555,1.244137132,47.105852
31,6,simplernn,50,1.297275639,1.112058914,22.302656
32,6,simplernn,65,1.53837781,1.309388971,20.889698
33,6,simplernn,80,1.699043512,1.276953435,19.462007
34,6,simplernn,95,1.486571813,1.295088494,22.253451
35,6,simplernn,110,1.465896797,1.177598739,23.076688
36,6,simplernn,125,1.453892922,1.276175451,21.33525
37,6,simplernn,140,1.504021621,1.298251462,24.41078
38,6,simplernn,155,1.530182338,1.351151013,23.235131
39,6,simplernn,170,1.571380186,1.443680596,22.718561
40,6,simplernn,185,1.688410068,1.357351565,21.461396
41,6,simplernn,200,1.851873469,1.37961483,20.733842
42,6,simplernn,215,1.671464062,1.40522629,22.20094
43,6,simplernn,230,1.756250548,1.462377071,22.413433
44,6,simplernn,245,2.148624611,1.549764609,21.718428
45,6,simplernn,260,1.728106904,1.473179579,25.67024
46,6,simplernn,275,1.512657738,1.428448057,27.622483
47,6,simplernn,290,1.555083418,1.37650789,26.73534
48,6,simplernn,305,1.636785364,1.528504801,24.628528
49,6,simplernn,320,1.583035302,1.495597386,25.095746
50,6,simplernn,335,1.641847134,1.425589263,26.926914
51,6,simplernn,350,1.576800442,1.533344722,26.092753
52,6,simplernn,365,1.574926114,1.517316699,25.783024
53,6,simplernn,380,1.573380566,1.503193402,27.670949
54,6,simplernn,395,1.556975532,1.491722274,26.339963
55,6,simplernn,410,1.531283402,1.473883772,28.746851
56,6,simplernn,425,1.558684111,1.500186515,26.579316
57,6,simplernn,440,1.534809279,1.485960746,28.727163
58,6,simplernn,455,1.557180643,1.472336006,33.890901
59,6,simplernn,470,1.558884859,1.511400032,26.33455
60,6,simplernn,485,1.556776762,1.508158779,28.137817
0,7,none,0,1.858786774,1.231655777,9.079844
1,7,lstm,50,1.280921328,1.163711715,35.372422
2,7,lstm,65,1.273977757,1.175605512,41.132014
3,7,lstm,80,1.236348259,1.109670758,41.260823
4,7,lstm,95,1.336332715,1.20377605,34.161307
5,7,lstm,110,1.18147037,1.05445112,39.136853
6,7,lstm,125,1.173434246,1.070622885,37.760845
7,7,lstm,140,1.26420604,1.156054771,33.657023
8,7,lstm,155,1.300029457,1.151725459,34.05584
9,7,lstm,170,1.296265924,1.172107697,35.985872
10,7,lstm,185,1.292358851,1.178665733,36.148589
11,7,lstm,200,1.241975093,1.134323895,40.198029
12,7,lstm,215,1.200308692,1.105485296,42.893807
13,7,lstm,230,1.141967797,1.035053229,43.859519
14,7,lstm,245,1.139079988,1.036573189,46.574964
15,7,lstm,260,1.247488248,1.152562916,37.973123
16,7,lstm,275,1.175008607,1.069295883,39.913302
17,7,lstm,290,1.193538952,1.060909784,38.513287
18,7,lstm,305,1.264125454,1.126550865,37.794055
19,7,lstm,320,1.227704215,1.082562947,40.398498
20,7,lstm,335,1.173260498,1.103163958,39.487577
21,7,lstm,350,1.229208255,1.048192608,40.624516
22,7,lstm,365,1.209331214,1.053391075,41.132111
23,7,lstm,380,1.357240582,1.168615854,40.087504
24,7,lstm,395,1.151646459,0.987077928,45.850328
25,7,lstm,410,1.323940229,1.145203769,49.883284
26,7,lstm,425,1.263246095,1.116139066,39.727601
27,7,lstm,440,1.159510815,1.022781372,46.450083
28,7,lstm,455,1.305113292,1.128640521,43.512868
29,7,lstm,470,1.435221624,1.247063601,40.947239
30,7,lstm,485,1.291761351,1.147317481,41.212432
31,7,simplernn,50,1.431863284,1.193049347,20.864522
32,7,simplernn,65,1.563367891,1.305380726,20.256628
33,7,simplernn,80,1.573547935,1.476436138,20.671031
34,7,simplernn,95,1.721657419,1.171733367,20.670318
35,7,simplernn,110,1.657963419,1.294845068,19.971852
36,7,simplernn,125,1.575175691,1.23885783,20.90791
37,7,simplernn,140,1.490158772,1.194924247,21.960598
38,7,simplernn,155,1.581315374,1.357611299,22.926513
39,7,simplernn,170,1.850961828,1.386106586,21.995517
40,7,simplernn,185,1.701733446,1.449215317,22.886659
41,7,simplernn,200,1.858289409,1.422605419,23.796387
42,7,simplernn,215,1.666058183,1.46179595,22.997845
43,7,simplernn,230,2.022539663,1.573226166,21.981596
44,7,simplernn,245,1.779373026,1.484036469,23.371775
45,7,simplernn,260,1.717421794,1.450643253,24.806661
46,7,simplernn,275,1.537851262,1.428304005,26.92495
47,7,simplernn,290,1.620477986,1.52975893,28.243371
48,7,simplernn,305,1.656195998,1.561893511,24.844015
49,7,simplernn,320,2.049703741,1.684762359,21.309328
50,7,simplernn,335,1.881027389,1.558950472,23.466131
51,7,simplernn,350,1.575634432,1.465380919,26.788242
52,7,simplernn,365,1.526797557,1.474587345,27.486414
53,7,simplernn,380,1.55433588,1.501804948,25.922549
54,7,simplernn,395,1.5430058,1.509687185,28.383006
55,7,simplernn,410,1.562432289,1.505848145,27.118526
56,7,simplernn,425,1.697687578,1.589895201,27.41556
57,7,simplernn,440,1.583214831,1.496994424,34.29324
58,7,simplernn,455,1.543565774,1.486195111,27.581129
59,7,simplernn,470,1.574871182,1.537469196,27.248641
60,7,simplernn,485,1.641453695,1.568029523,26.553149
0,8,none,0,1.882522988,1.237383449,9.084326
1,8,lstm,50,1.270559895,1.1760337,36.238425
2,8,lstm,65,1.199425483,1.065263128,41.633608
3,8,lstm,80,1.218101025,1.079149616,38.711255
4,8,lstm,95,1.28466326,1.163981974,37.930554
5,8,lstm,110,1.212557232,1.110973465,35.658261
6,8,lstm,125,1.299122965,1.18742646,35.008659
7,8,lstm,140,1.244449556,1.083541799,36.739243
8,8,lstm,155,1.228344774,1.045892251,37.303265
9,8,lstm,170,1.213842773,1.085869944,42.53067
10,8,lstm,185,1.295051777,1.197720802,37.049574
11,8,lstm,200,1.257568622,1.146134317,37.315874
12,8,lstm,215,1.324433041,1.224093616,35.589387
13,8,lstm,230,1.309007156,1.236450315,40.673313
14,8,lstm,245,1.160021639,1.039059615,44.726794
