iteration,seed,rnn_type,rnn_size,last_perf,min_perf,time
in,in,in,in,out,out,out
int,int,str,int,float,float,float
10,11,lstm,185,1.138341177,0.984079772,44.998425
11,11,lstm,200,1.318346524,1.224081957,34.683765
12,11,lstm,215,1.26716795,1.116788423,38.607503
13,11,lstm,230,1.183424628,1.067425036,43.597879
14,11,lstm,245,1.26048615,1.196751976,42.466259
15,11,lstm,260,1.269187117,1.126956069,36.086311
16,11,lstm,275,1.19321332,1.009577942,44.478594
17,11,lstm,290,1.280922008,1.133510423,38.46355
18,11,lstm,305,1.234483087,1.113055444,38.145646
19,11,lstm,320,1.304633403,1.154009163,36.557162
20,11,lstm,335,1.183522356,1.069914079,45.597233
21,11,lstm,350,1.240289426,1.121098936,38.000692
22,11,lstm,365,1.194239509,1.082501733,42.051382
23,11,lstm,380,1.229632783,1.088248992,47.941475
24,11,lstm,395,1.170872855,1.041522598,45.23435
25,11,lstm,410,1.270975614,1.088157487,44.012746
26,11,lstm,425,1.264931774,1.122685683,46.270015
27,11,lstm,440,1.239395487,1.113877237,52.58597
28,11,lstm,455,1.242604315,1.103942156,49.716897
29,11,lstm,470,1.316480899,1.197182524,45.940121
30,11,lstm,485,1.355397177,1.198297882,46.715871
1,12,lstm,50,1.179120028,1.053896356,41.446576
2,12,lstm,65,1.274421644,1.151214302,44.848473
3,12,lstm,80,1.22282877,1.129024684,40.91175
4,12,lstm,95,1.273576283,1.156805527,41.855445
5,12,lstm,110,1.289431453,1.16825968,38.81143
6,12,lstm,125,1.238340604,1.06685071,34.556807
7,12,lstm,140,1.203797853,1.069960845,36.607145
8,12,lstm,155,1.249524689,1.143461668,43.551894
9,12,lstm,170,1.235330379,1.101029241,40.176987
10,12,lstm,185,1.250450349,1.156138241,53.267764
11,12,lstm,200,1.116977513,1.029515159,45.680206
12,12,lstm,215,1.252464056,1.137267697,37.938708
13,12,lstm,230,1.219700015,1.130956376,42.760151
14,12,lstm,245,1.265015078,1.113714421,40.29195
15,12,lstm,260,1.223153579,1.120312667,37.015017
16,12,lstm,275,1.167148089,1.065488112,43.708843
17,12,lstm,290,1.216042185,1.094283819,37.925716
18,12,lstm,305,1.365101588,1.207677746,38.000689
19,12,lstm,320,1.311305988,1.122906804,44.232665
20,12,lstm,335,1.195856011,1.120402575,43.34796
21,12,lstm,350,1.190834117,1.069826889,44.877464
22,12,lstm,365,1.243167841,1.162723374,40.455897
23,12,lstm,380,1.340084636,1.1837659,41.756475
24,12,lstm,395,1.303561461,1.078355765,47.625575
25,12,lstm,410,1.22215395,1.050491321,45.157365
26,12,lstm,425,1.367978907,1.210219014,47.415632
27,12,lstm,440,1.308549321,1.141322052,42.463249
28,12,lstm,455,1.292480922,1.141283894,48.120404
29,12,lstm,470,1.218493807,1.123163784,52.065138
30,12,lstm,485,1.325837493,1.228181386,46.893837
1,13,lstm,50,1.1557971,1.047477663,39.907074
2,13,lstm,65,1.246733737,1.109264338,35.714434
3,13,lstm,80,1.30235517,1.194486046,36.722109
4,13,lstm,95,1.165381467,1.049171305,35.339556
5,13,lstm,110,1.16165874,1.015690112,36.851065
6,13,lstm,125,1.265055895,1.15326277,38.309595
7,13,lstm,140,1.300783181,1.206608248,38.189633
8,13,lstm,155,1.265814924,1.173761106,38.920394
9,13,lstm,170,1.279698503,1.157504928,36.259257
10,13,lstm,185,1.319557261,1.222118139,33.74507
11,13,lstm,200,1.211225033,1.103739572,41.886434
12,13,lstm,215,1.194796813,1.090907133,40.869763
13,13,lstm,230,1.251762593,1.153180492,43.493913
14,13,lstm,245,1.342179811,1.171906221,38.877411
15,13,lstm,260,1.224491477,1.129062581,36.904048
16,13,lstm,275,1.265078974,1.088346875,36.385216
17,13,lstm,290,1.275603735,1.129949558,36.192284
18,13,lstm,305,1.221306467,1.110543358,42.479243
19,13,lstm,320,1.176238275,1.081374049,46.50294
20,13,lstm,335,1.243642735,1.140380549,38.799433
21,13,lstm,350,1.20786953,1.091792214,43.755839
22,13,lstm,365,1.255674398,1.108922458,41.82944
23,13,lstm,380,1.182840681,1.064361966,40.422908
24,13,lstm,395,1.278300261,1.137258208,41.086693
25,13,lstm,410,1.241476893,1.109625244,45.044399
26,13,lstm,425,1.203235018,1.070159996,49.373011
27,13,lstm,440,1.262168574,1.158688509,48.498295
28,13,lstm,455,1.277966762,1.146581972,45.846151
29,13,lstm,470,1.293530941,1.145497525,44.485582
30,13,lstm,485,1.336294723,1.212697935,50.050793
1,14,lstm,50,1.218360674,1.080227703,43.240982
2,14,lstm,65,1.21792711,1.080831158,39.594177
3,14,lstm,80,1.186644638,1.052071977,41.374599
4,14,lstm,95,1.303427768,1.186278582,41.297616
5,14,lstm,110,1.24505682,1.147706938,37.14797
6,14,lstm,125,1.176676345,1.071913505,38.686472
7,14,lstm,140,1.275342631,1.128339505,35.393539
8,14,lstm,155,1.282670307,1.154723465,36.496178
9,14,lstm,170,1.249368715,1.081000006,38.877397
10,14,lstm,185,1.376369166,1.292869389,33.734073
11,14,lstm,200,1.325962698,1.200238752,37.615817
12,14,lstm,215,1.264755881,1.177802265,36.050325
13,14,lstm,230,1.25458411,1.155375445,41.831454
14,14,lstm,245,1.183756459,1.066915357,52.753905
15,14,lstm,260,1.243007612,1.123884475,40.031035
16,14,lstm,275,1.208579028,1.061962533,44.02774
17,14,lstm,290,1.258535075,1.112550426,49.599937
18,14,lstm,305,1.221079779,1.045877945,42.541222
19,14,lstm,320,1.22338357,1.122512174,40.871762
20,14,lstm,335,1.393859172,1.118113291,41.125681
21,14,lstm,350,1.307233691,1.178750932,39.635163
22,14,lstm,365,1.233156538,1.150777173,40.325938
23,14,lstm,380,1.222314155,1.075456834,43.842802
24,14,lstm,395,1.369450879,1.118266511,42.590226
25,14,lstm,410,1.407715416,1.256677198,43.220988
26,14,lstm,425,1.389064741,1.250028348,43.151022
27,14,lstm,440,1.335322666,1.169034004,44.949442
28,14,lstm,455,1.426004267,1.298060656,46.117062
29,14,lstm,470,1.39001565,1.261272776,43.752828
30,14,lstm,485,1.407715452,1.227260005,45.253334
1,15,lstm,50,1.238430071,1.108570838,35.37853
2,15,lstm,65,1.206797302,1.063850212,36.148293
3,15,lstm,80,1.219158924,1.107262301,36.92804
4,15,lstm,95,1.266099393,1.169496441,41.361605
5,15,lstm,110,1.338170981,1.210087705,31.742718
6,15,lstm,125,1.125189173,1.029929984,44.305652
7,15,lstm,140,1.237549305,1.126718307,32.547488
8,15,lstm,155,1.244519567,1.135894299,37.993721
9,15,lstm,170,1.347096837,1.145716727,36.206276
10,15,lstm,185,1.257560909,1.142847586,35.521516
11,15,lstm,200,1.28557694,1.168410933,35.658451
12,15,lstm,215,1.264022791,1.143159187,39.961055
13,15,lstm,230,1.27114712,1.138437152,42.166343
14,15,lstm,245,1.190758169,1.04398421,41.596528
15,15,lstm,260,1.149441898,1.033542955,46.897812
16,15,lstm,275,1.259160006,1.152454925,40.77979
17,15,lstm,290,1.149599576,1.041430032,43.670855
18,15,lstm,305,1.341408229,1.23859278,39.670151
19,15,lstm,320,1.305818391,1.050729668,45.062404
20,15,lstm,335,1.267588782,1.116467154,40.335955
21,15,lstm,350,1.301515889,1.084842718,39.883084
22,15,lstm,365,1.244629669,1.110958624,42.716166
23,15,lstm,380,1.310553801,1.166712618,40.051027
24,15,lstm,395,1.292807341,1.204837942,46.09807
25,15,lstm,410,1.285104072,1.150130892,48.081427
26,15,lstm,425,1.350118625,1.21110599,42.373277
27,15,lstm,440,1.465039957,1.238032389,45.103393
28,15,lstm,455,1.234610784,1.123855066,48.832184
29,15,lstm,470,1.298698139,1.119177473,47.76053
30,15,lstm,485,1.271229255,1.124784291,49.157082
