iteration,dense_layers_1,dense_layers_2,dense_layers_3,dense_layers_4,dense_layers_5,dense_layers_6,dense_layers_7,dense_layers_8,dense_layers_9,dense_layers_10,dense_layers,learning_rate,optimizer,activation,dropout,rnn_type,rnn_size,rnn_activation,rnn_dropout,last_activation,last_perf,min_perf,time
in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,out,out,out
int,int,int,int,int,int,int,int,int,int,int,int,str,str,str,float,str,int,str,float,str,float,float,float
94,402,0,0,0,0,0,0,0,0,0,1,5.00E-05,adadelta,leaky_relu,0.25,simplernn,546,tanh,0.2,relu,2.176245522,1.314204097,28.8792
95,362,414,245,197,0,0,0,0,0,0,4,0.005,adam,leaky_relu,0.15,none,253,tanh,0.2,relu,2.197723508,1.368780684,12.738114
96,364,455,438,0,0,0,0,0,0,0,3,0.001,adam,relu,0.15,none,885,tanh,0.1,relu,1.562074041,1.18538307,10.667653
97,349,87,382,127,269,397,154,409,445,439,10,0.005,adam,relu,0.2,simplernn,877,relu,0,relu,1.409519279,1.314147639,42.734379
98,231,346,142,212,499,177,339,0,0,0,7,0.005,adam,relu,0,none,457,relu,0.25,relu,1.423892796,1.236740673,13.983277
99,342,184,188,425,494,153,0,0,0,0,6,0.0005,rmsprop,relu,0.15,simplernn,839,tanh,0.25,linear,2.161873698,1.911174583,31.26037
100,153,346,418,388,290,432,121,97,221,0,9,5.00E-05,adam,leaky_relu,0.15,simplernn,540,relu,0.2,relu,2.708536339,2.523413825,45.562819
101,306,53,439,132,0,0,0,0,0,0,4,0.005,adam,relu,0.15,none,691,relu,0.1,linear,1.654615116,1.232943237,12.55458
102,202,422,256,379,0,0,0,0,0,0,4,0.0005,rmsprop,relu,0,none,757,tanh,0.1,linear,1.461997259,1.228563702,7.769816
103,314,303,259,0,0,0,0,0,0,0,3,0.001,adam,relu,0.1,none,340,relu,0.15,linear,1.449963188,1.191490149,10.638697
104,249,247,312,468,170,0,0,0,0,0,5,0.005,adam,leaky_relu,0.2,none,163,tanh,0,relu,2.11777668,1.431656408,14.584222
105,383,494,247,0,0,0,0,0,0,0,3,0.005,rmsprop,relu,0.25,none,9,relu,0.1,linear,1.441881108,1.256264234,8.858414
106,402,247,454,14,161,324,420,0,0,0,7,0.0001,adadelta,relu,0,simplernn,749,tanh,0.25,linear,3.705299878,1.154445541,46.772598
107,75,288,483,462,66,330,107,302,490,0,9,0.005,rmsprop,relu,0,none,537,relu,0.15,relu,12.93584347,12.93584347,11.276977
108,69,481,59,489,171,4,380,421,166,0,9,0.0005,adam,relu,0.15,none,540,tanh,0.2,linear,1.568115664,1.284779966,23.193829
109,38,465,113,74,330,205,425,448,262,0,9,0.005,adam,relu,0.25,simplernn,682,tanh,0.15,linear,2.332711911,2.002010417,39.65867
110,177,119,398,258,20,372,197,401,188,0,9,5.00E-05,adadelta,relu,0.25,lstm,115,tanh,0.15,linear,1.31893822,1.09052397,73.414163
111,248,388,469,452,485,215,1,416,0,0,8,0.001,rmsprop,leaky_relu,0.1,none,492,relu,0.15,linear,1.79185648,1.232663774,16.882579
112,468,14,363,233,0,0,0,0,0,0,4,5.00E-05,adadelta,leaky_relu,0.15,none,887,relu,0.2,linear,2.068651485,1.273372149,12.258656
113,124,109,131,493,124,0,0,0,0,0,5,0.0005,adam,relu,0.1,none,178,relu,0.2,relu,1.360955918,1.194397569,15.026996
114,184,310,128,364,411,46,277,255,464,108,10,0.0005,rmsprop,leaky_relu,0,lstm,168,tanh,0.25,linear,1.293849111,1.181985927,46.753637
115,417,161,435,345,381,479,359,0,0,0,7,0.0001,adam,leaky_relu,0.15,none,317,tanh,0.2,relu,1.440026283,1.251232886,19.854122
116,499,405,0,0,0,0,0,0,0,0,2,5.00E-05,adadelta,leaky_relu,0.25,none,241,relu,0.15,linear,2.564930654,1.232684314,8.143387
117,396,457,295,0,0,0,0,0,0,0,3,5.00E-05,adam,relu,0.25,none,897,tanh,0.1,linear,1.265664816,1.254813647,16.431792
118,41,70,460,432,0,0,0,0,0,0,4,0.001,adadelta,leaky_relu,0.15,simplernn,755,relu,0.25,linear,1.415112662,1.097148573,47.526102
